"TradingDate","CurrencyRate","BaseCurrency","TargetCurrency","Filename","LoadDate"
"2024-02-23","1.05856272","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-02-24","1.05877774","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-02-25","1.06264781","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-02-26","1.0620122","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-02-27","1.06652689","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-02-28","1.06793703","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-02-29","1.0682219","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-01","1.06895263","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-02","1.06784854","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-03","1.06942858","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-04","1.06803923","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-05","1.06978401","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-06","1.07122857","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-07","1.07336573","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-08","1.07286486","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-09","1.07381226","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-10","1.07123743","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-11","1.07171823","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-12","1.07322869","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-13","1.07384764","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-14","1.07567608","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-15","1.07897508","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-16","1.07896644","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-17","1.07696458","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-18","1.07721586","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-19","1.0799807","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-20","1.08666924","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-21","1.08566102","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-22","1.08709576","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-23","1.08707893","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-24","1.08694905","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-25","1.08780117","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
